Study_Hours,Attendance_Pct,Sleep_Hours,Previous_Score,Extracurricular,Final_Score
3.7,63.1,7.4,75.4,1,70.9
9.5,62.3,8.8,42.1,1,87.8
7.3,95.3,8.6,91.1,1,98.2
6.0,62.5,4.9,72.9,0,77.6
1.6,63.6,4.9,41.0,0,42.0
1.6,88.0,5.6,97.4,0,76.3
0.6,72.5,6.2,66.3,1,61.4
8.7,88.8,6.5,35.1,1,78.5
6.0,53.3,8.1,73.9,0,83.6
7.1,74.4,4.3,47.7,0,71.5
0.2,51.7,4.2,86.3,1,48.7
9.7,53.1,6.4,87.2,1,83.8
8.3,95.3,8.2,98.5,1,100.0
2.1,57.0,5.2,65.1,1,56.4
1.8,76.6,7.8,61.8,0,63.3
1.8,70.6,5.6,82.7,1,64.4
3.0,67.4,9.3,39.3,1,66.1
5.2,95.0,9.4,68.3,0,83.7
4.3,51.1,5.8,68.2,0,53.5
2.9,83.2,5.4,36.3,1,61.3
6.1,98.2,6.5,59.3,0,73.3
1.4,78.0,5.4,89.7,1,69.7
2.9,96.8,8.0,89.9,1,80.2
3.7,52.6,9.0,36.9,0,57.1
4.6,70.9,8.0,36.4,0,69.7
7.9,63.0,8.9,48.4,1,76.8
2.0,86.5,6.4,91.2,0,76.4
5.1,99.1,4.9,39.0,1,73.6
5.9,62.8,8.4,80.4,1,88.0
0.5,82.7,6.2,37.1,1,53.1
6.1,59.9,8.0,73.6,0,71.8
1.7,78.3,5.6,54.9,1,63.8
0.7,73.2,4.5,85.2,1,59.7
9.5,98.6,10.0,46.4,1,96.4
9.7,80.4,4.9,74.7,0,88.6
8.1,67.5,9.9,46.5,1,83.8
3.0,55.7,9.9,80.0,1,75.8
1.0,57.6,8.8,91.2,1,57.3
6.8,61.3,8.0,38.9,0,69.6
4.4,62.5,7.5,90.7,1,79.2
1.2,92.5,9.2,71.6,1,74.6
5.0,78.1,5.7,38.9,0,70.7
0.3,76.2,6.8,59.9,0,55.3
9.1,55.7,7.7,41.3,1,78.0
2.6,93.0,6.5,79.0,1,78.9
6.6,86.1,6.6,83.1,1,89.9
3.1,53.4,6.0,37.4,0,48.9
5.2,85.4,7.4,65.4,0,80.1
5.5,77.2,9.1,87.0,1,84.4
1.8,54.1,5.2,95.5,0,57.2
9.7,72.9,9.6,65.9,1,93.7
7.8,74.2,8.1,96.5,1,100.0
9.4,58.3,8.9,67.5,0,73.2
8.9,97.3,7.3,57.6,1,97.9
6.0,92.5,8.7,89.4,0,91.3
9.2,83.5,4.1,64.5,0,79.5
0.9,73.1,8.9,63.0,1,64.6
2.0,70.6,4.2,64.3,0,58.4
0.5,82.5,9.3,89.3,1,74.7
3.3,77.3,10.0,88.2,0,67.3
3.9,53.1,5.8,58.2,1,66.4
2.7,75.6,5.3,53.3,1,59.7
8.3,90.3,8.6,64.4,1,97.9
3.6,73.0,5.5,70.1,0,69.3
2.8,52.6,9.2,46.7,1,55.7
5.4,89.3,4.6,85.6,0,83.7
1.4,60.1,4.8,64.1,0,50.1
8.0,62.9,9.9,53.4,0,72.5
0.7,58.2,8.0,37.5,0,51.6
9.9,66.5,9.1,46.7,0,82.5
7.7,87.8,5.9,96.4,1,92.9
2.0,76.0,8.1,51.4,0,59.4
0.1,60.2,7.6,41.8,1,49.7
8.2,93.9,7.6,62.2,1,93.7
7.1,94.0,8.1,51.5,0,87.3
7.3,93.5,7.5,32.5,1,77.7
7.7,61.9,6.6,52.6,1,74.2
0.7,72.6,5.7,68.1,0,55.5
3.6,99.2,8.6,68.6,1,90.4
1.2,88.6,5.4,55.0,0,58.9
8.6,51.4,8.2,61.3,0,82.6
6.2,53.3,5.4,97.6,0,75.6
3.3,73.2,7.8,56.4,1,66.5
0.6,95.5,8.5,48.1,1,64.9
3.1,76.9,5.3,47.0,1,62.4
3.3,74.9,4.4,62.0,1,67.6
7.3,55.3,4.8,83.2,0,80.9
6.4,82.8,7.6,44.4,0,77.8
8.9,91.1,9.1,79.7,1,100.0
4.7,69.0,4.3,31.5,0,53.6
1.2,88.8,8.4,59.3,1,66.5
7.1,98.2,6.0,84.3,0,89.1
7.6,60.2,6.9,53.7,0,75.2
5.6,76.2,9.6,69.5,0,79.1
7.7,64.4,6.0,44.3,0,75.0
4.9,89.6,6.8,81.9,0,78.1
5.2,78.9,4.1,33.7,1,66.1
4.3,81.7,4.5,89.7,1,81.0
0.3,89.9,5.6,43.9,0,45.9
1.1,69.8,4.2,91.2,1,71.2
0.3,95.8,7.8,54.7,0,61.3
6.4,76.7,6.6,80.6,0,73.5
3.1,57.9,7.3,52.3,0,58.4
5.1,84.8,5.0,93.4,0,81.0
9.1,89.7,5.8,38.9,1,86.7
2.5,65.8,8.0,42.5,0,60.8
4.1,92.9,9.8,64.5,1,86.2
7.6,95.3,4.3,35.7,0,78.9
2.3,63.8,9.3,43.7,0,59.6
0.8,99.2,7.5,96.1,1,77.7
2.9,57.0,7.4,98.4,0,75.4
1.6,60.1,7.0,56.3,0,47.8
9.3,59.2,4.4,94.6,1,89.6
8.1,94.7,4.5,68.1,1,91.0
6.3,82.7,7.6,48.9,1,83.5
8.7,57.6,6.0,79.2,0,78.6
8.0,72.0,9.5,76.1,0,82.1
1.9,80.8,6.4,99.2,1,75.4
8.9,54.2,4.9,48.6,1,76.3
5.4,94.1,8.3,77.0,0,92.0
